Symbol,Name,Sector
ARNC,Arconic Inc.,Industrials
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant Inc.,Financials
T,AT&T Inc.,TelecommunicationServices
ADSK,Autodesk Inc.,InformationTechnology
ADP,Automatic Data Processing,InformationTechnology
AZO,AutoZone Inc,ConsumerDiscretionary
AVB,"AvalonBay Communities, Inc.",RealEstate
AVY,Avery Dennison Corp,Materials
BHGE,"Baker Hughes, a GE Company",Energy
BLL,Ball Corp,Materials
BAC,Bank of America Corp,Financials
BAX,Baxter International Inc.,HealthCare
BBT,BB&T Corporation,Financials
BDX,Becton Dickinson,HealthCare
BRK.B,Berkshire Hathaway,Financials
BBY,Best Buy Co. Inc.,ConsumerDiscretionary
BIIB,Biogen Inc.,HealthCare
BLK,BlackRock,Financials
HRB,Block H&R,Financials
BA,Boeing Company,Industrials
BKNG,Booking Holdings Inc,ConsumerDiscretionary
BWA,BorgWarner,ConsumerDiscretionary
BXP,Boston Properties,RealEstate
BSX,Boston Scientific,HealthCare
BHF,Brighthouse Financial Inc,Financials
BMY,Bristol-Myers Squibb,HealthCare
AVGO,Broadcom,InformationTechnology
BF.B,Brown-Forman Corp.,ConsumerStaples
CHRW,C. H. Robinson Worldwide,Industrials
CA,"CA, Inc.",InformationTechnology
COG,Cabot Oil & Gas,Energy
CDNS,Cadence Design Systems,InformationTechnology
CPB,Campbell Soup,ConsumerStaples
COF,Capital One Financial,Financials
CAH,Cardinal Health Inc.,HealthCare
KMX,Carmax Inc,ConsumerDiscretionary
CCL,Carnival Corp.,ConsumerDiscretionary
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,RealEstate
CBS,CBS Corp.,ConsumerDiscretionary
CELG,Celgene Corp.,HealthCare
CNC,Centene Corporation,HealthCare
CNP,CenterPoint Energy,Utilities
CTL,CenturyLink Inc,TelecommunicationServices
CERN,Cerner,HealthCare
CF,CF Industries Holdings Inc,Materials
SCHW,Charles Schwab Corporation,Financials
CHTR,Charter Communications,ConsumerDiscretionary
CVX,Chevron Corp.,Energy
CMG,Chipotle Mexican Grill,ConsumerDiscretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,ConsumerStaples
CI,CIGNA Corp.,HealthCare
XEC,Cimarex Energy,Energy
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Industrials
CSCO,Cisco Systems,InformationTechnology
C,Citigroup Inc.,Financials
CFG,Citizens Financial Group,Financials
CTXS,Citrix Systems,InformationTechnology
CME,CME Group Inc.,Financials
CMS,CMS Energy,Utilities
KO,Coca-Cola Company (The),ConsumerStaples
CTSH,Cognizant Technology Solutions,InformationTechnology
CL,Colgate-Palmolive,ConsumerStaples
CMCSA,Comcast Corp.,ConsumerDiscretionary
CMA,Comerica Inc.,Financials
CAG,Conagra Brands,ConsumerStaples
CXO,Concho Resources,Energy
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,ConsumerStaples
GLW,Corning Inc.,InformationTechnology
COST,Costco Wholesale Corp.,ConsumerStaples
COTY,"Coty, Inc",ConsumerStaples
CCI,Crown Castle International Corp.,RealEstate
CSRA,CSRA Inc.,InformationTechnology
CSX,CSX Corp.,Industrials
CMI,Cummins Inc.,Industrials
CVS,CVS Health,ConsumerStaples
DHI,D. R. Horton,ConsumerDiscretionary
DHR,Danaher Corp.,HealthCare
DRI,Darden Restaurants,ConsumerDiscretionary
DVA,DaVita Inc.,HealthCare
DE,Deere & Co.,Industrials
DAL,Delta Air Lines Inc.,Industrials
XRAY,Dentsply Sirona,HealthCare
DVN,Devon Energy Corp.,Energy
DLR,Digital Realty Trust Inc,RealEstate
DFS,Discover Financial Services,Financials
DISCA,Discovery Inc. Class A,ConsumerDiscretionary
DISCK,Discovery Inc. Class C,ConsumerDiscretionary
DISH,Dish Network,ConsumerDiscretionary
DG,Dollar General,ConsumerDiscretionary
DLTR,Dollar Tree,ConsumerDiscretionary
D,Dominion Energy,Utilities
DOV,Dover Corp.,Industrials
DWDP,DowDuPont,Materials
DPS,Dr Pepper Snapple Group,ConsumerStaples
DTE,DTE Energy Co.,Utilities
DUK,Duke Energy,Utilities
DRE,Duke Realty Corp,RealEstate
DXC,DXC Technology,InformationTechnology
ETFC,E*Trade,Financials
EMN,Eastman Chemical,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay Inc.,InformationTechnology
ECL,Ecolab Inc.,Materials
EIX,Edison Int'l,Utilities
EW,Edwards Lifesciences,HealthCare
EA,Electronic Arts,InformationTechnology
EMR,Emerson Electric Company,Industrials
ETR,Entergy Corp.,Utilities
EVHC,Envision Healthcare,HealthCare
EOG,EOG Resources,Energy
EQT,EQT Corporation,Energy
EFX,Equifax Inc.,Industrials
EQIX,Equinix,RealEstate
EQR,Equity Residential,RealEstate
ESS,"Essex Property Trust, Inc.",RealEstate
EL,Estee Lauder Cos.,ConsumerStaples
RE,Everest Re Group Ltd.,Financials
ES,Eversource Energy,Utilities
EXC,Exelon Corp.,Utilities
EXPE,Expedia Inc.,ConsumerDiscretionary
EXPD,Expeditors International,Industrials
ESRX,Express Scripts,HealthCare
EXR,Extra Space Storage,RealEstate
XOM,Exxon Mobil Corp.,Energy
FFIV,F5 Networks,InformationTechnology
FB,"Facebook, Inc.",InformationTechnology
FAST,Fastenal Co,Industrials
FRT,Federal Realty Investment Trust,RealEstate
FDX,FedEx Corporation,Industrials
FIS,Fidelity National Information Services,InformationTechnology
FITB,Fifth Third Bancorp,Financials
FE,FirstEnergy Corp,Utilities
FISV,Fiserv Inc,InformationTechnology
FLIR,FLIR Systems,InformationTechnology
FLS,Flowserve Corporation,Industrials
FLR,Fluor Corp.,Industrials
FMC,FMC Corporation,Materials
FL,Foot Locker Inc,ConsumerDiscretionary
F,Ford Motor,ConsumerDiscretionary
FTV,Fortive Corp,Industrials
FBHS,Fortune Brands Home & Security,Industrials
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan Inc.,Materials
GPS,Gap Inc.,ConsumerDiscretionary
GRMN,Garmin Ltd.,ConsumerDiscretionary
IT,Gartner Inc,InformationTechnology
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GGP,General Growth Properties Inc.,RealEstate
GIS,General Mills,ConsumerStaples
GM,General Motors,ConsumerDiscretionary
GPC,Genuine Parts,ConsumerDiscretionary
GILD,Gilead Sciences,HealthCare
GPN,Global Payments Inc.,InformationTechnology
GS,Goldman Sachs Group,Financials
GT,Goodyear Tire & Rubber,ConsumerDiscretionary
GWW,Grainger (W.W.) Inc.,Industrials
HAL,Halliburton Co.,Energy
HBI,Hanesbrands Inc,ConsumerDiscretionary
HOG,Harley-Davidson,ConsumerDiscretionary
HRS,Harris Corporation,InformationTechnology
HIG,Hartford Financial Svc.Gp.,Financials
HAS,Hasbro Inc.,ConsumerDiscretionary
HCA,HCA Holdings,HealthCare
HCP,HCP Inc.,RealEstate
HP,Helmerich & Payne,Energy
HSIC,Henry Schein,HealthCare
HES,Hess Corporation,Energy
HPE,Hewlett Packard Enterprise,InformationTechnology
HLT,Hilton Worldwide Holdings Inc,ConsumerDiscretionary
HOLX,Hologic,HealthCare
HD,Home Depot,ConsumerDiscretionary
HON,Honeywell Int'l Inc.,Industrials
HRL,Hormel Foods Corp.,ConsumerStaples
HST,Host Hotels & Resorts,RealEstate
HPQ,HP Inc.,InformationTechnology
HUM,Humana Inc.,HealthCare
HBAN,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Industrials
IDXX,IDEXX Laboratories,HealthCare
INFO,IHS Markit Ltd.,Industrials
ITW,Illinois Tool Works,Industrials
ILMN,Illumina Inc,HealthCare
INCY,Incyte,HealthCare
IR,Ingersoll-Rand PLC,Industrials
INTC,Intel Corp.,InformationTechnology
ICE,Intercontinental Exchange,Financials
IBM,International Business Machines,InformationTechnology
IP,International Paper,Materials
IPG,Interpublic Group,ConsumerDiscretionary
IFF,Intl Flavors & Fragrances,Materials
INTU,Intuit Inc.,InformationTechnology
ISRG,Intuitive Surgical Inc.,HealthCare
IVZ,Invesco Ltd.,Financials
IPGP,IPG Photonics Corp.,InformationTechnology
IQV,IQVIA Holdings Inc.,HealthCare
IRM,Iron Mountain Incorporated,RealEstate
JBHT,J. B. Hunt Transport Services,Industrials
JEC,Jacobs Engineering Group,Industrials
SJM,JM Smucker,ConsumerStaples
JNJ,Johnson & Johnson,HealthCare
JCI,Johnson Controls International,Industrials
JPM,JPMorgan Chase & Co.,Financials
JNPR,Juniper Networks,InformationTechnology
KSU,Kansas City Southern,Industrials
K,Kellogg Co.,ConsumerStaples
KEY,KeyCorp,Financials
KMB,Kimberly-Clark,ConsumerStaples
KIM,Kimco Realty,RealEstate
KMI,Kinder Morgan,Energy
KLAC,KLA-Tencor Corp.,InformationTechnology
KSS,Kohl's Corp.,ConsumerDiscretionary
KHC,Kraft Heinz Co,ConsumerStaples
KR,Kroger Co.,ConsumerStaples
LB,L Brands Inc.,ConsumerDiscretionary
LLL,L-3 Communications Holdings,Industrials
LH,Laboratory Corp. of America Holding,HealthCare
LRCX,Lam Research,InformationTechnology
LEG,Leggett & Platt,ConsumerDiscretionary
LEN,Lennar Corp.,ConsumerDiscretionary
LUK,Leucadia National Corp.,Financials
LLY,Lilly (Eli) & Co.,HealthCare
LNC,Lincoln National,Financials
LKQ,LKQ Corporation,ConsumerDiscretionary
LMT,Lockheed Martin Corp.,Industrials
L,Loews Corp.,Financials
LOW,Lowe's Cos.,ConsumerDiscretionary
LYB,LyondellBasell,Materials
MTB,M&T Bank Corp.,Financials
MAC,Macerich,RealEstate
M,Macy's Inc.,ConsumerDiscretionary
MRO,Marathon Oil Corp.,Energy
MPC,Marathon Petroleum,Energy
MAR,Marriott Int'l.,ConsumerDiscretionary
MMC,Marsh & McLennan,Financials
MLM,Martin Marietta Materials,Materials
MAS,Masco Corp.,Industrials
MA,Mastercard Inc.,InformationTechnology
MAT,Mattel Inc.,ConsumerDiscretionary
MKC,McCormick & Co.,ConsumerStaples
MCD,McDonald's Corp.,ConsumerDiscretionary
MCK,McKesson Corp.,HealthCare
MDT,Medtronic plc,HealthCare
MRK,Merck & Co.,HealthCare
MET,MetLife Inc.,Financials
MTD,Mettler Toledo,HealthCare
MGM,MGM Resorts International,ConsumerDiscretionary
KORS,Michael Kors Holdings,ConsumerDiscretionary
MCHP,Microchip Technology,InformationTechnology
MU,Micron Technology,InformationTechnology
MSFT,Microsoft Corp.,InformationTechnology
MAA,Mid-America Apartments,RealEstate
MHK,Mohawk Industries,ConsumerDiscretionary
TAP,Molson Coors Brewing Company,ConsumerStaples
MDLZ,Mondelez International,ConsumerStaples
MON,Monsanto Co.,Materials
MNST,Monster Beverage,ConsumerStaples
MCO,Moody's Corp,Financials
MS,Morgan Stanley,Financials
MSI,Motorola Solutions Inc.,InformationTechnology
MYL,Mylan N.V.,HealthCare
NDAQ,"Nasdaq, Inc.",Financials
NOV,National Oilwell Varco Inc.,Energy
NAVI,Navient,Financials
NKTR,Nektar Therapeutics,HealthCare
NTAP,NetApp,InformationTechnology
NFLX,Netflix Inc.,InformationTechnology
NWL,Newell Brands,ConsumerDiscretionary
NFX,Newfield Exploration Co,Energy
NEM,Newmont Mining Corporation,Materials
NWSA,News Corp. Class A,ConsumerDiscretionary
NWS,News Corp. Class B,ConsumerDiscretionary
NEE,NextEra Energy,Utilities
NLSN,Nielsen Holdings,Industrials
NKE,Nike,ConsumerDiscretionary
NI,NiSource Inc.,Utilities
NBL,Noble Energy Inc,Energy
JWN,Nordstrom,ConsumerDiscretionary
NSC,Norfolk Southern Corp.,Industrials
NTRS,Northern Trust Corp.,Financials
NOC,Northrop Grumman Corp.,Industrials
NCLH,Norwegian Cruise Line,ConsumerDiscretionary
NRG,NRG Energy,Utilities
NUE,Nucor Corp.,Materials
NVDA,Nvidia Corporation,InformationTechnology
ORLY,O'Reilly Automotive,ConsumerDiscretionary
OXY,Occidental Petroleum,Energy
OMC,Omnicom Group,ConsumerDiscretionary
OKE,ONEOK,Energy
ORCL,Oracle Corp.,InformationTechnology
PCAR,PACCAR Inc.,Industrials
PKG,Packaging Corporation of America,Materials
PH,Parker-Hannifin,Industrials
PAYX,Paychex Inc.,InformationTechnology
PYPL,PayPal,InformationTechnology
PNR,Pentair Ltd.,Industrials
PBCT,People's United Financial,Financials
PEP,PepsiCo Inc.,ConsumerStaples
PKI,PerkinElmer,HealthCare
PRGO,Perrigo,HealthCare
PFE,Pfizer Inc.,HealthCare
PCG,PG&E Corp.,Utilities
PM,Philip Morris International,ConsumerStaples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PXD,Pioneer Natural Resources,Energy
PNC,PNC Financial Services,Financials
RL,Polo Ralph Lauren Corp.,ConsumerDiscretionary
PPG,PPG Industries,Materials
PPL,PPL Corp.,Utilities
PX,Praxair Inc.,Materials
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,ConsumerStaples
PGR,Progressive Corp.,Financials
PLD,Prologis,RealEstate
PRU,Prudential Financial,Financials
PEG,Public Serv. Enterprise Inc.,Utilities
PSA,Public Storage,RealEstate
PHM,Pulte Homes Inc.,ConsumerDiscretionary
PVH,PVH Corp.,ConsumerDiscretionary
QRVO,Qorvo,InformationTechnology
QCOM,QUALCOMM Inc.,InformationTechnology
PWR,Quanta Services Inc.,Industrials
DGX,Quest Diagnostics,HealthCare
RRC,Range Resources Corp.,Energy
RJF,Raymond James Financial Inc.,Financials
RTN,Raytheon Co.,Industrials
O,Realty Income Corporation,RealEstate
RHT,Red Hat Inc.,InformationTechnology
REG,Regency Centers Corporation,RealEstate
REGN,Regeneron,HealthCare
RF,Regions Financial Corp.,Financials
RSG,Republic Services Inc,Industrials
RMD,ResMed,HealthCare
RHI,Robert Half International,Industrials
ROK,Rockwell Automation Inc.,Industrials
COL,Rockwell Collins,Industrials
ROP,Roper Technologies,Industrials
ROST,Ross Stores,ConsumerDiscretionary
RCL,Royal Caribbean Cruises Ltd,ConsumerDiscretionary
SPGI,"S&P Global, Inc.",Financials
CRM,Salesforce.com,InformationTechnology
SBAC,SBA Communications,RealEstate
SCG,SCANA Corp,Utilities
SLB,Schlumberger Ltd.,Energy
STX,Seagate Technology,InformationTechnology
SEE,Sealed Air,Materials
SRE,Sempra Energy,Utilities
SHW,Sherwin-Williams,Materials
SPG,Simon Property Group Inc,RealEstate
SWKS,Skyworks Solutions,InformationTechnology
SLG,SL Green Realty,RealEstate
SNA,Snap-On Inc.,ConsumerDiscretionary
SO,Southern Co.,Utilities
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,ConsumerDiscretionary
SBUX,Starbucks Corp.,ConsumerDiscretionary
STT,State Street Corp.,Financials
SRCL,Stericycle Inc,Industrials
SYK,Stryker Corp.,HealthCare
STI,SunTrust Banks,Financials
SIVB,SVB Financial,Financials
SYMC,Symantec Corp.,InformationTechnology
SYF,Synchrony Financial,Financials
SNPS,Synopsys Inc.,InformationTechnology
SYY,Sysco Corp.,ConsumerStaples
TROW,T. Rowe Price Group,Financials
TTWO,Take-Two Interactive,InformationTechnology
TPR,"Tapestry, Inc.",ConsumerDiscretionary
TGT,Target Corp.,ConsumerDiscretionary
TEL,TE Connectivity Ltd.,InformationTechnology
FTI,TechnipFMC,Energy
TXN,Texas Instruments,InformationTechnology
TXT,Textron Inc.,Industrials
BK,The Bank of New York Mellon Corp.,Financials
CLX,The Clorox Company,ConsumerStaples
COO,The Cooper Companies,HealthCare
HSY,The Hershey Company,ConsumerStaples
MOS,The Mosaic Company,Materials
TRV,The Travelers Companies Inc.,Financials
DIS,The Walt Disney Company,ConsumerDiscretionary
TMO,Thermo Fisher Scientific,HealthCare
TIF,Tiffany & Co.,ConsumerDiscretionary
TWX,Time Warner Inc.,ConsumerDiscretionary
TJX,TJX Companies Inc.,ConsumerDiscretionary
TMK,Torchmark Corp.,Financials
TSS,Total System Services,InformationTechnology
TSCO,Tractor Supply Company,ConsumerDiscretionary
TDG,TransDigm Group,Industrials
TRIP,TripAdvisor,ConsumerDiscretionary
FOXA,Twenty-First Century Fox Class A,ConsumerDiscretionary
FOX,Twenty-First Century Fox Class B,ConsumerDiscretionary
TSN,Tyson Foods,ConsumerStaples
USB,U.S. Bancorp,Financials
UDR,UDR Inc,RealEstate
ULTA,Ulta Beauty,ConsumerDiscretionary
UAA,Under Armour Class A,ConsumerDiscretionary
UA,Under Armour Class C,ConsumerDiscretionary
UNP,Union Pacific,Industrials
UAL,United Continental Holdings,Industrials
UNH,United Health Group Inc.,HealthCare
UPS,United Parcel Service,Industrials
URI,"United Rentals, Inc.",Industrials
UTX,United Technologies,Industrials
UHS,"Universal Health Services, Inc.",HealthCare
UNM,Unum Group,Financials
VFC,V.F. Corp.,ConsumerDiscretionary
VLO,Valero Energy,Energy
VAR,Varian Medical Systems,HealthCare
VTR,Ventas Inc,RealEstate
VRSN,Verisign Inc.,InformationTechnology
VRSK,Verisk Analytics,Industrials
VZ,Verizon Communications,TelecommunicationServices
VRTX,Vertex Pharmaceuticals Inc,HealthCare
VIAB,Viacom Inc.,ConsumerDiscretionary
V,Visa Inc.,InformationTechnology
VNO,Vornado Realty Trust,RealEstate
VMC,Vulcan Materials,Materials
WMT,Wal-Mart Stores,ConsumerStaples
WBA,Walgreens Boots Alliance,ConsumerStaples
WM,Waste Management Inc.,Industrials
WAT,Waters Corporation,HealthCare
WEC,Wec Energy Group Inc,Utilities
WFC,Wells Fargo,Financials
WELL,Welltower Inc.,RealEstate
WDC,Western Digital,InformationTechnology
WU,Western Union Co,InformationTechnology
WRK,WestRock Company,Materials
WY,Weyerhaeuser Corp.,RealEstate
WHR,Whirlpool Corp.,ConsumerDiscretionary
WMB,Williams Cos.,Energy
WLTW,Willis Towers Watson,Financials
WYN,Wyndham Worldwide,ConsumerDiscretionary
WYNN,Wynn Resorts Ltd,ConsumerDiscretionary
XEL,Xcel Energy Inc,Utilities
XRX,Xerox Corp.,InformationTechnology
XLNX,Xilinx Inc,InformationTechnology
XL,XL Capital,Financials
XYL,Xylem Inc.,Industrials
YUM,Yum! Brands Inc,ConsumerDiscretionary
ZBH,Zimmer Biomet Holdings,HealthCare
ZION,Zions Bancorp,Financials
ZTS,Zoetis,HealthCare
